Year,Month,Day,Daily/Monthly,State,County,FIPS Code,Grid Index,Lat (llcrnr),Lon (llcrnr),Lat (urcrnr),Lon (urcrnr),Avg Temperature (K),Max Temperature (K),Min Temperature (K),Precipitation (kg m**-2),Relative Humidity (%),Wind Gust (m s**-1),Wind Speed (m s**-1),U Component of Wind (m s**-1),V Component of Wind (m s**-1),Downward Shortwave Radiation Flux (W m**-2),Vapor Pressure Deficit (kPa)
2022,8,1.0,Daily,IOWA,UNION,19175,0.0,40.897031,-94.470779,41.0272985,-94.3566315,299.665,306.089,293.936,0.0,75.5,4.793,2.133,1.027,0.862,7118.2,0.99
2022,8,2.0,Daily,IOWA,UNION,19175,0.0,40.897031,-94.470779,41.0272985,-94.3566315,301.956,307.607,297.285,0.014,71.0,6.446,3.482,0.811,3.073,7737.2,1.285
2022,8,3.0,Daily,IOWA,UNION,19175,0.0,40.897031,-94.470779,41.0272985,-94.3566315,301.283,305.724,298.184,0.1,71.0,8.737,4.991,1.155,4.62,5532.7,1.12
2022,8,4.0,Daily,IOWA,UNION,19175,0.0,40.897031,-94.470779,41.0272985,-94.3566315,297.943,304.044,290.405,0.0,67.6,4.709,2.615,-0.695,-2.08,7939.1,1.173
2022,8,5.0,Daily,IOWA,UNION,19175,0.0,40.897031,-94.470779,41.0272985,-94.3566315,297.561,305.038,290.14,0.0,68.5,4.959,2.67,-1.646,1.235,7808.308,1.149
2022,8,6.0,Daily,IOWA,UNION,19175,0.0,40.897031,-94.470779,41.0272985,-94.3566315,300.989,307.591,296.211,0.0,73.6,7.77,4.146,-0.439,3.938,7544.9,1.137
2022,8,7.0,Daily,IOWA,UNION,19175,0.0,40.897031,-94.470779,41.0272985,-94.3566315,302.136,307.315,297.591,0.0,72.3,7.695,4.199,0.53,4.037,6235.6,1.191
2022,8,8.0,Daily,IOWA,UNION,19175,0.0,40.897031,-94.470779,41.0272985,-94.3566315,297.96,305.3,292.859,0.509,76.1,6.642,3.912,0.453,-2.748,6545.9,0.815
2022,8,9.0,Daily,IOWA,UNION,19175,0.0,40.897031,-94.470779,41.0272985,-94.3566315,294.433,302.116,287.791,0.0,72.2,3.234,1.401,-0.749,-0.802,7724.2,0.883
2022,8,10.0,Daily,IOWA,UNION,19175,0.0,40.897031,-94.470779,41.0272985,-94.3566315,296.304,304.276,288.759,0.0,66.6,2.943,1.091,0.098,0.22,7710.5,1.167
2022,8,11.0,Daily,IOWA,UNION,19175,0.0,40.897031,-94.470779,41.0272985,-94.3566315,297.297,305.344,289.401,0.0,63.4,2.337,1.356,0.111,-0.175,7273.0,1.355
2022,8,12.0,Daily,IOWA,UNION,19175,0.0,40.897031,-94.470779,41.0272985,-94.3566315,298.765,304.449,293.909,0.0,71.7,5.177,3.031,-0.643,2.581,7258.2,1.094
2022,8,13.0,Daily,IOWA,UNION,19175,0.0,40.897031,-94.470779,41.0272985,-94.3566315,298.967,304.665,294.091,0.01,70.9,7.738,4.289,1.731,2.425,6405.7,1.103
2022,8,14.0,Daily,IOWA,UNION,19175,0.0,40.897031,-94.470779,41.0272985,-94.3566315,295.454,300.516,291.975,0.015,76.3,5.502,3.026,-1.056,-2.76,6037.2,0.7
2022,8,15.0,Daily,IOWA,UNION,19175,0.0,40.897031,-94.470779,41.0272985,-94.3566315,293.325,297.606,290.554,6.983,86.9,6.732,3.214,-3.015,-0.199,284.0,0.332
2022,8,16.0,Daily,IOWA,UNION,19175,0.0,40.897031,-94.470779,41.0272985,-94.3566315,292.852,298.794,290.316,6.62,86.8,7.758,3.565,-3.466,-0.509,5072.1,0.383
2022,8,17.0,Daily,IOWA,UNION,19175,0.0,40.897031,-94.470779,41.0272985,-94.3566315,294.392,300.645,288.411,0.0,72.9,3.829,1.562,-1.079,-0.958,6102.7,0.82
2022,8,18.0,Daily,IOWA,UNION,19175,0.0,40.897031,-94.470779,41.0272985,-94.3566315,294.882,300.859,288.757,0.0,73.6,3.919,2.376,1.179,1.276,6317.7,0.812
2022,8,19.0,Daily,IOWA,UNION,19175,0.0,40.897031,-94.470779,41.0272985,-94.3566315,295.611,299.853,290.793,5.661,72.6,6.589,3.453,1.545,2.243,4759.7,0.822
2022,8,20.0,Daily,IOWA,UNION,19175,0.0,40.897031,-94.470779,41.0272985,-94.3566315,292.917,298.147,290.045,0.612,84.9,6.598,3.6,2.813,-0.762,4735.7,0.396
2022,8,21.0,Daily,IOWA,UNION,19175,0.0,40.897031,-94.470779,41.0272985,-94.3566315,293.791,300.132,288.415,0.0,80.2,4.807,2.542,0.151,-2.379,6526.2,0.59
2022,8,22.0,Daily,IOWA,UNION,19175,0.0,40.897031,-94.470779,41.0272985,-94.3566315,293.717,300.083,287.066,0.0,75.5,2.987,1.461,-0.379,-0.999,6879.7,0.752
2022,8,23.0,Daily,IOWA,UNION,19175,0.0,40.897031,-94.470779,41.0272985,-94.3566315,294.582,301.909,288.57,0.0,73.1,2.903,1.177,-0.062,-0.117,6862.3,0.826
2022,8,24.0,Daily,IOWA,UNION,19175,0.0,40.897031,-94.470779,41.0272985,-94.3566315,296.569,303.223,290.86,0.0,72.8,4.669,2.413,1.331,1.938,6797.4,0.935
