Year,Month,Day,Daily/Monthly,State,County,FIPS Code,Grid Index,Lat (llcrnr),Lon (llcrnr),Lat (urcrnr),Lon (urcrnr),Avg Temperature (K),Max Temperature (K),Min Temperature (K),Precipitation (kg m**-2),Relative Humidity (%),Wind Gust (m s**-1),Wind Speed (m s**-1),U Component of Wind (m s**-1),V Component of Wind (m s**-1),Downward Shortwave Radiation Flux (W m**-2),Vapor Pressure Deficit (kPa)
2022,8,1.0,Daily,IOWA,IOWA,19095,0.0,41.50979,-92.298164,41.627453,-92.18093075,298.707,303.94,294.124,0.0,74.9,7.249,3.734,2.605,0.266,7657.8,0.911
2022,8,2.0,Daily,IOWA,IOWA,19095,0.0,41.50979,-92.298164,41.627453,-92.18093075,299.527,306.235,294.102,0.074,77.3,6.204,3.525,-1.327,2.903,7555.9,0.893
2022,8,3.0,Daily,IOWA,IOWA,19095,0.0,41.50979,-92.298164,41.627453,-92.18093075,300.497,305.036,296.44,1.52,77.8,9.0,4.846,1.584,4.227,3265.6,0.837
2022,8,4.0,Daily,IOWA,IOWA,19095,0.0,41.50979,-92.298164,41.627453,-92.18093075,297.531,303.544,290.342,0.0,73.1,4.509,2.623,0.018,-2.408,7794.3,0.934
2022,8,5.0,Daily,IOWA,IOWA,19095,0.0,41.50979,-92.298164,41.627453,-92.18093075,296.832,304.309,290.968,0.0,78.8,3.995,2.353,-1.664,-0.106,5933.308,0.713
2022,8,6.0,Daily,IOWA,IOWA,19095,0.0,41.50979,-92.298164,41.627453,-92.18093075,300.996,308.187,296.148,1.54,82.1,6.346,3.348,-1.082,2.988,7154.6,0.793
2022,8,7.0,Daily,IOWA,IOWA,19095,0.0,41.50979,-92.298164,41.627453,-92.18093075,301.186,304.626,298.427,0.227,85.1,5.737,2.878,-1.199,2.131,3150.9,0.596
2022,8,8.0,Daily,IOWA,IOWA,19095,0.0,41.50979,-92.298164,41.627453,-92.18093075,298.319,302.3,294.247,0.017,81.2,6.853,3.995,1.253,-1.61,5345.4,0.604
2022,8,9.0,Daily,IOWA,IOWA,19095,0.0,41.50979,-92.298164,41.627453,-92.18093075,293.834,300.366,287.166,0.0,77.4,2.609,1.593,-0.624,-0.789,6993.3,0.658
2022,8,10.0,Daily,IOWA,IOWA,19095,0.0,41.50979,-92.298164,41.627453,-92.18093075,294.974,302.578,287.946,0.0,75.4,2.508,1.142,-0.162,0.119,7633.2,0.813
2022,8,11.0,Daily,IOWA,IOWA,19095,0.0,41.50979,-92.298164,41.627453,-92.18093075,295.779,301.741,289.964,1.46,78.5,3.441,1.932,-0.846,-0.901,4751.6,0.668
2022,8,12.0,Daily,IOWA,IOWA,19095,0.0,41.50979,-92.298164,41.627453,-92.18093075,294.431,297.754,291.811,0.021,77.4,7.286,4.178,-3.273,1.532,6001.3,0.595
2022,8,13.0,Daily,IOWA,IOWA,19095,0.0,41.50979,-92.298164,41.627453,-92.18093075,296.98,304.646,291.977,0.0,75.6,8.632,4.533,0.929,3.029,6878.7,0.823
2022,8,14.0,Daily,IOWA,IOWA,19095,0.0,41.50979,-92.298164,41.627453,-92.18093075,295.006,299.078,292.587,0.002,83.4,7.088,3.916,0.777,-3.659,4311.4,0.446
2022,8,15.0,Daily,IOWA,IOWA,19095,0.0,41.50979,-92.298164,41.627453,-92.18093075,293.963,297.329,290.051,0.522,83.3,4.357,2.216,-1.567,-0.941,1612.9,0.435
2022,8,16.0,Daily,IOWA,IOWA,19095,0.0,41.50979,-92.298164,41.627453,-92.18093075,294.352,300.067,289.193,1.365,78.6,4.034,2.45,-1.776,-1.043,7108.2,0.655
2022,8,17.0,Daily,IOWA,IOWA,19095,0.0,41.50979,-92.298164,41.627453,-92.18093075,294.39,300.232,288.099,0.0,67.9,2.962,1.675,-1.05,-1.2,6887.2,0.954
2022,8,18.0,Daily,IOWA,IOWA,19095,0.0,41.50979,-92.298164,41.627453,-92.18093075,294.184,301.209,287.569,1.67,71.6,3.106,1.887,0.632,0.805,5313.4,0.792
2022,8,19.0,Daily,IOWA,IOWA,19095,0.0,41.50979,-92.298164,41.627453,-92.18093075,295.637,301.276,292.079,1.56,79.6,6.448,2.977,0.256,2.573,4243.6,0.62
2022,8,20.0,Daily,IOWA,IOWA,19095,0.0,41.50979,-92.298164,41.627453,-92.18093075,293.086,296.71,290.876,7.734,88.9,5.736,2.885,1.764,1.059,2704.8,0.275
2022,8,21.0,Daily,IOWA,IOWA,19095,0.0,41.50979,-92.298164,41.627453,-92.18093075,293.497,298.694,289.808,0.0,86.1,4.448,2.573,1.305,-2.09,3657.1,0.382
2022,8,22.0,Daily,IOWA,IOWA,19095,0.0,41.50979,-92.298164,41.627453,-92.18093075,293.459,300.092,287.673,0.0,79.8,2.102,1.216,0.384,-0.913,5906.9,0.602
2022,8,23.0,Daily,IOWA,IOWA,19095,0.0,41.50979,-92.298164,41.627453,-92.18093075,294.858,300.784,289.48,0.0,73.0,1.898,0.9,-0.247,-0.127,6846.1,0.817
2022,8,24.0,Daily,IOWA,IOWA,19095,0.0,41.50979,-92.298164,41.627453,-92.18093075,295.397,302.183,290.546,0.0,78.5,3.789,1.833,-0.669,0.849,6241.7,0.68
2022,8,25.0,Daily,IOWA,IOWA,19095,0.0,41.50979,-92.298164,41.627453,-92.18093075,297.146,300.879,293.137,0.016,81.0,5.019,2.736,1.684,-0.532,6052.0,0.617
2022,8,26.0,Daily,IOWA,IOWA,19095,0.0,41.50979,-92.298164,41.627453,-92.18093075,295.109,300.474,289.182,0.0,80.7,3.377,1.794,-0.118,-1.141,6802.6,0.598
2022,8,27.0,Daily,IOWA,IOWA,19095,0.0,41.50979,-92.298164,41.627453,-92.18093075,296.873,305.237,292.401,0.94,80.1,7.224,3.985,-2.014,3.115,5092.8,0.689
2022,8,28.0,Daily,IOWA,IOWA,19095,0.0,41.50979,-92.298164,41.627453,-92.18093075,297.219,302.293,295.337,5.838,82.5,7.887,4.026,-0.52,3.258,3245.2,0.553
2022,8,29.0,Daily,IOWA,IOWA,19095,0.0,41.50979,-92.298164,41.627453,-92.18093075,298.275,301.768,295.73,0.04,81.9,6.854,3.391,1.177,1.414,2520.9,0.61
2022,8,30.0,Daily,IOWA,IOWA,19095,0.0,41.50979,-92.298164,41.627453,-92.18093075,294.543,299.794,288.724,0.0,67.2,6.756,3.428,2.575,-1.947,6842.2,0.938
2022,8,31.0,Daily,IOWA,IOWA,19095,0.0,41.50979,-92.298164,41.627453,-92.18093075,294.489,303.082,287.875,0.0,68.5,3.74,2.16,1.986,0.355,6650.8,1.002
2022,8,1.0,Daily,IOWA,IOWA,19095,1.0,41.627453,-92.298164,41.745116,-92.18093075,298.28,303.628,293.436,0.001,75.9,7.327,3.828,2.691,0.372,7748.3,0.852
2022,8,2.0,Daily,IOWA,IOWA,19095,1.0,41.627453,-92.298164,41.745116,-92.18093075,299.233,305.795,293.848,0.71,78.4,6.857,3.63,-1.423,2.859,7528.4,0.838
2022,8,3.0,Daily,IOWA,IOWA,19095,1.0,41.627453,-92.298164,41.745116,-92.18093075,300.395,304.661,296.565,0.3,78.3,9.492,5.132,1.717,4.453,3315.4,0.816
2022,8,4.0,Daily,IOWA,IOWA,19095,1.0,41.627453,-92.298164,41.745116,-92.18093075,297.245,303.169,290.168,0.0,72.4,4.873,2.625,0.167,-2.388,7829.9,0.938
2022,8,5.0,Daily,IOWA,IOWA,19095,1.0,41.627453,-92.298164,41.745116,-92.18093075,296.675,303.684,291.327,0.0,79.3,4.381,2.352,-1.649,0.024,6536.508,0.685
