Year,Month,Day,Daily/Monthly,State,County,FIPS Code,Grid Index,Lat (llcrnr),Lon (llcrnr),Lat (urcrnr),Lon (urcrnr),Avg Temperature (K),Max Temperature (K),Min Temperature (K),Precipitation (kg m**-2),Relative Humidity (%),Wind Gust (m s**-1),Wind Speed (m s**-1),U Component of Wind (m s**-1),V Component of Wind (m s**-1),Downward Shortwave Radiation Flux (W m**-2),Vapor Pressure Deficit (kPa)
2022,8,1.0,Daily,IOWA,DICKINSON,19059,0.0,43.255054,-95.388078,43.3779695,-95.26948925,295.066,301.339,288.308,0.0,74.4,5.452,2.563,1.759,-1.448,7333.6,0.774
2022,8,2.0,Daily,IOWA,DICKINSON,19059,0.0,43.255054,-95.388078,43.3779695,-95.26948925,299.339,308.019,293.301,0.0,72.1,8.318,4.371,-0.608,3.857,7627.8,1.131
2022,8,3.0,Daily,IOWA,DICKINSON,19059,0.0,43.255054,-95.388078,43.3779695,-95.26948925,299.744,305.036,295.023,0.154,66.9,6.948,3.815,0.439,-1.526,7662.6,1.222
2022,8,4.0,Daily,IOWA,DICKINSON,19059,0.0,43.255054,-95.388078,43.3779695,-95.26948925,293.612,301.143,286.168,0.0,70.8,4.49,2.22,-0.792,-0.658,7767.0,0.837
2022,8,5.0,Daily,IOWA,DICKINSON,19059,0.0,43.255054,-95.388078,43.3779695,-95.26948925,296.714,303.675,290.218,0.0,71.2,7.761,4.366,-1.313,4.014,7615.808,1.002
2022,8,6.0,Daily,IOWA,DICKINSON,19059,0.0,43.255054,-95.388078,43.3779695,-95.26948925,297.202,302.583,294.736,5.34,82.2,6.687,3.442,-1.314,0.819,1380.9,0.561
2022,8,7.0,Daily,IOWA,DICKINSON,19059,0.0,43.255054,-95.388078,43.3779695,-95.26948925,294.027,299.148,291.716,12.322,92.4,6.924,3.309,-1.803,-2.028,2429.4,0.196
2022,8,8.0,Daily,IOWA,DICKINSON,19059,0.0,43.255054,-95.388078,43.3779695,-95.26948925,291.478,296.364,286.626,0.374,84.3,7.577,3.739,0.333,-3.599,6954.8,0.37
2022,8,9.0,Daily,IOWA,DICKINSON,19059,0.0,43.255054,-95.388078,43.3779695,-95.26948925,292.003,299.881,284.603,0.0,76.0,2.963,1.767,-0.027,1.071,7694.0,0.642
2022,8,10.0,Daily,IOWA,DICKINSON,19059,0.0,43.255054,-95.388078,43.3779695,-95.26948925,295.442,302.753,288.259,0.0,75.2,3.105,1.28,-0.352,0.804,7518.8,0.805
2022,8,11.0,Daily,IOWA,DICKINSON,19059,0.0,43.255054,-95.388078,43.3779695,-95.26948925,296.511,301.405,292.276,0.082,79.3,4.933,3.199,-2.957,0.174,4442.5,0.622
2022,8,12.0,Daily,IOWA,DICKINSON,19059,0.0,43.255054,-95.388078,43.3779695,-95.26948925,296.416,302.574,291.944,0.0,77.4,10.419,5.507,-1.836,4.568,7028.4,0.767
2022,8,13.0,Daily,IOWA,DICKINSON,19059,0.0,43.255054,-95.388078,43.3779695,-95.26948925,296.061,301.321,293.657,0.0,74.0,8.215,4.617,0.729,-0.838,5325.9,0.758
2022,8,14.0,Daily,IOWA,DICKINSON,19059,0.0,43.255054,-95.388078,43.3779695,-95.26948925,292.243,295.828,287.975,0.011,81.4,3.976,2.198,-1.27,-1.352,3835.6,0.434
2022,8,15.0,Daily,IOWA,DICKINSON,19059,0.0,43.255054,-95.388078,43.3779695,-95.26948925,291.141,294.919,288.314,4.715,89.6,4.248,2.122,-1.58,1.155,342.4,0.225
2022,8,16.0,Daily,IOWA,DICKINSON,19059,0.0,43.255054,-95.388078,43.3779695,-95.26948925,291.06,297.855,284.881,0.0,85.9,2.953,1.616,-1.245,-0.158,4265.2,0.376
2022,8,17.0,Daily,IOWA,DICKINSON,19059,0.0,43.255054,-95.388078,43.3779695,-95.26948925,293.215,298.895,286.589,0.0,75.9,2.553,1.106,-0.337,0.266,6263.9,0.645
2022,8,18.0,Daily,IOWA,DICKINSON,19059,0.0,43.255054,-95.388078,43.3779695,-95.26948925,294.288,300.909,288.444,5.46,76.0,6.513,3.468,1.307,3.162,6845.5,0.703
2022,8,19.0,Daily,IOWA,DICKINSON,19059,0.0,43.255054,-95.388078,43.3779695,-95.26948925,290.9,295.073,287.066,28.521,89.3,6.031,3.117,2.41,0.836,3324.7,0.235
2022,8,20.0,Daily,IOWA,DICKINSON,19059,0.0,43.255054,-95.388078,43.3779695,-95.26948925,291.774,296.002,289.523,0.17,89.0,8.937,4.442,0.449,-4.157,4716.2,0.257
2022,8,21.0,Daily,IOWA,DICKINSON,19059,0.0,43.255054,-95.388078,43.3779695,-95.26948925,292.088,297.949,286.54,0.0,80.0,3.789,1.715,-0.245,-1.572,6733.8,0.535
2022,8,22.0,Daily,IOWA,DICKINSON,19059,0.0,43.255054,-95.388078,43.3779695,-95.26948925,292.545,299.068,286.611,0.0,76.7,2.688,1.638,0.003,1.092,6789.7,0.602
2022,8,23.0,Daily,IOWA,DICKINSON,19059,0.0,43.255054,-95.388078,43.3779695,-95.26948925,294.983,301.859,290.258,0.0,74.8,5.7,3.09,-0.015,2.943,6759.3,0.755
