FIPS,Year,Yield_corn,Production_corn,Yield_soybeans,Production_soybeans,Yield_cotton,Production_cotton,Yield_winterwheat,Production_winterwheat,Avg Temperature (K) Mean,Avg Temperature (K) Std,Avg Temperature (K) Max,Avg Temperature (K) Min,Max Temperature (K) Mean,Max Temperature (K) Std,Max Temperature (K) Max,Max Temperature (K) Min,Min Temperature (K) Mean,Min Temperature (K) Std,Min Temperature (K) Max,Min Temperature (K) Min,Precipitation (kg m**-2) Mean,Precipitation (kg m**-2) Std,Precipitation (kg m**-2) Max,Precipitation (kg m**-2) Min,Relative Humidity (%) Mean,Relative Humidity (%) Std,Relative Humidity (%) Max,Relative Humidity (%) Min,Wind Gust (m s**-1) Mean,Wind Gust (m s**-1) Std,Wind Gust (m s**-1) Max,Wind Gust (m s**-1) Min,Wind Speed (m s**-1) Mean,Wind Speed (m s**-1) Std,Wind Speed (m s**-1) Max,Wind Speed (m s**-1) Min,U Component of Wind (m s**-1) Mean,U Component of Wind (m s**-1) Std,U Component of Wind (m s**-1) Max,U Component of Wind (m s**-1) Min,V Component of Wind (m s**-1) Mean,V Component of Wind (m s**-1) Std,V Component of Wind (m s**-1) Max,V Component of Wind (m s**-1) Min,Downward Shortwave Radiation Flux (W m**-2) Mean,Downward Shortwave Radiation Flux (W m**-2) Std,Downward Shortwave Radiation Flux (W m**-2) Max,Downward Shortwave Radiation Flux (W m**-2) Min,Vapor Pressure Deficit (kPa) Mean,Vapor Pressure Deficit (kPa) Std,Vapor Pressure Deficit (kPa) Max,Vapor Pressure Deficit (kPa) Min,Hot Days >35C,Cold Days <5C,Heavy Rain Days >10mm,Dry Days <1mm,Avg Temp Trend (slope),Precipitation Trend (slope)
19001,2017,175.2,18235000.0,50.5,5554000.0,,,,,291.33031425233645,6.1138899573028365,302.41183333333333,272.30375,297.52712733644864,6.421174489528001,307.75275000000005,275.7534166666667,286.15484423676014,6.062062190496357,298.2174166666667,266.47075,4.19356230529595,10.683837927324682,87.06583333333333,0.0,71.54715732087227,12.11197617141429,97.85833333333332,38.31666666666667,6.489498052959502,2.62638507359486,14.119583333333331,1.6243333333333334,3.6751094236760125,1.6116752672681525,8.97175,0.9980833333333332,0.5815545171339562,1.9985180442486972,6.9975,-5.8429166666666665,0.5077698598130841,2.832552872698345,7.983999999999999,-6.28925,5073.886423676013,2593.266670247014,8851.875,42.575,0.7181417445482866,0.3531937211654581,1.635916666666667,0.02725,0,22,25,148,0.005817312678505239,0.012059057481890552
19001,2018,149.5,15414000.0,50.1,5300000.0,,,,,290.7412468847352,7.793418869515517,301.40275,268.097,296.991792834891,7.771769286360936,309.06975,273.40566666666666,285.75621573208724,7.70793311502968,297.7515833333333,262.37216666666666,4.741545950155763,13.258787362811702,88.64383333333332,0.0,74.23325545171339,13.08227829818699,96.675,34.80833333333333,6.248815420560747,2.447472416753225,14.146166666666666,1.8613333333333333,3.373028426791277,1.4284167419090472,8.916583333333334,1.1244166666666666,0.026430295950155804,1.8099060823622013,5.143416666666667,-5.4863333333333335,0.2710584112149533,2.5711935368603744,8.702583333333333,-7.98675,5140.823869158879,2687.8577898768153,8759.908333333333,95.31666666666666,0.6497021028037383,0.4024116131040109,2.0915,0.0265,2,39,29,143,0.006407501022945591,0.0016180271078036752
19001,2019,176.6,18944000.0,53.3,5376000.0,,,,,290.4394112149533,6.862482519361594,302.64575,272.31033333333335,296.14938123052957,6.744547538249421,306.66408333333334,274.80691666666667,285.948078271028,7.083648700675872,298.8631666666667,268.2188333333333,2.997759735202492,7.3582895112053475,50.48883333333333,0.0,76.42515576323989,10.378176461361432,96.5,36.36666666666667,6.8371479750778805,2.885377360015621,17.663833333333333,2.109083333333333,3.4870475077881626,1.5216552635473637,10.42225,1.2576666666666667,0.22556697819314642,2.1209229958491562,9.039583333333333,-7.511,0.7003056853582555,2.362349005115322,6.535583333333334,-5.716666666666666,5304.316434579438,2307.719563914134,9088.025,238.54166666666663,0.5491413551401868,0.27775880028622674,1.401,0.0609166666666666,0,36,22,158,0.005716485495600597,0.01665283435015658
19001,2020,168.7,18253000.0,48.1,5060000.0,,,,,290.31888473520246,7.646167579686168,301.6385833333333,269.83625,296.54881697819314,7.847537131830866,306.9359166666667,272.4158333333333,285.254902258567,7.558342009682762,298.02316666666667,264.3880833333333,1.7286028037383174,4.774460890072233,31.030833333333334,0.0,71.59190031152647,13.543399104683534,97.74166666666667,34.18333333333333,7.095748442367601,2.820206420165903,16.198083333333333,1.7681666666666669,3.702423676012461,1.5464417627371208,9.26475,1.0665833333333332,0.31181736760124606,1.9181197470995186,6.165666666666667,-4.57575,0.4112336448598131,2.91361877070761,6.935416666666666,-8.487250000000001,5818.035750778817,2377.415354816007,8932.583333333334,512.0166666666667,0.6855062305295951,0.35176706956622894,1.6016666666666666,0.0306666666666666,0,38,13,173,0.00039058879831184505,-0.001332427733101501
19001,2021,,,,,,,,,291.60858995327106,6.320443097046163,301.7965,273.13325000000003,297.6757601246106,6.377291180684442,308.89841666666666,279.22016666666667,286.4589633956386,6.643503164690578,298.24216666666666,265.7606666666666,1.954734813084112,6.191287347298593,47.40133333333333,0.0,71.92052180685357,14.128328811764892,95.725,32.825,6.706221183800623,2.714013997067518,16.546,1.7220833333333332,3.580257788161994,1.4786270578933922,7.833749999999999,0.839,0.22924221183800625,1.8847526020572276,5.933166666666666,-5.600083333333333,0.7308403426791277,2.7588148531672094,7.1915,-7.76475,6797.912425233645,3834.202709932681,16903.116666666665,32.85,0.6799310747663551,0.34267230627462714,1.9428333333333332,0.0497499999999999,2,31,12,169,0.018652873431270867,0.006994765324541614
19001,2022,164.2,17520000.0,47.5,5076000.0,,,,,290.78230724299067,7.304295137233537,302.2649166666667,271.6058333333333,297.40081464174455,7.161386062268387,308.2929166666667,278.0514166666667,285.43265498442366,7.7892006041465205,298.3703333333333,263.6848333333333,1.7660221962616822,5.9255273482708875,58.88366666666667,0.0,69.29443146417445,12.701296140868267,97.36666666666667,33.300000000000004,7.27535124610592,3.3333614346532228,19.851166666666668,1.8186666666666669,3.8614863707165115,1.838164043789455,10.850333333333332,0.8175,0.4243033489096573,2.205884203334707,8.360083333333334,-5.120333333333334,0.7554778037383176,2.9282153048800486,10.70525,-7.627833333333334,5362.311004672897,2285.4227104117676,8920.058333333332,110.28333333333336,0.7306876947040499,0.3413997308508321,1.625916666666667,0.034,1,43,10,173,0.013249780206997226,-0.0041296558821158486
19003,2017,179.9,12105000.0,52.6,3742000.0,,,,,291.6231565420561,6.051392824533163,302.664875,272.820875,297.84360338785046,6.270965792780458,307.559125,276.688625,286.29408820093454,6.050992006348223,298.30425,266.703625,4.393582943925235,10.69031899423432,76.31125,0.0,71.41214953271027,11.597831212935123,97.0375,40.3375,6.19238785046729,2.6538315544023514,13.746625,1.5975,3.519703855140187,1.6035344419169981,8.81325,1.040125,0.3011115654205608,1.8821798862378838,6.58375,-5.833125,0.5609404205607476,2.7818849660179388,7.97325,-6.302,5081.808250000001,2606.6031946952553,8894.1125,26.8875,0.7316670560747663,0.34700093353025735,1.502,0.039125,0,22,30,151,0.0060233223947029485,0.00736624356003441
19003,2018,171.6,11824000.0,53.2,3674000.0,,,,,291.2389731308411,7.737622338354716,302.0075,268.45025,297.72782184579444,7.699319018288965,308.74275,274.43325,285.9946489485981,7.737435696890988,297.383875,262.30975,3.82978679906542,10.569355267067,71.07325,0.0,72.63790887850467,12.732884027568076,96.3875,36.6,5.968493574766354,2.4170118389225927,14.07,1.6365,3.2353919392523363,1.390528096272118,8.785375,0.836125,-0.16013492990654207,1.697242319001889,4.69625,-4.445125,0.3337552570093458,2.476594858600994,8.517,-7.699875,5216.7003294392525,2681.317149096357,8704.85,128.9875,0.7129258177570095,0.4048847588635671,1.881625,0.042375,3,37,24,149,0.006461051486051709,0.008759585408560904
19003,2019,,,,,,,,,290.9991045560747,6.888347333059945,303.1585,272.481625,296.7616728971962,6.787568151155901,307.1525,275.088,286.31557126168224,7.14384431153293,299.42,267.86287500000003,2.6977429906542056,7.722345335757293,60.184125,0.0,74.52348130841122,10.46036178871566,95.9625,35.8625,6.681622663551402,2.8822805086341377,16.719,1.832625,3.4275718457943927,1.4970510813963027,10.056,1.165125,0.03576226635514012,2.0321084169699395,9.0495,-8.1495,0.7486115654205607,2.3394660329102557,6.3055,-5.617375,5363.776948598131,2309.592175805366,9029.1875,106.8125,0.6180169392523364,0.30454952122211704,1.446625,0.076625,0,33,16,161,0.004610374428706544,0.015116329732360687
19003,2020,173.3,11958000.0,,,,,,,290.72565478971967,7.563572620315028,301.536875,270.496625,297.0959672897196,7.685114471378132,307.205,272.903125,285.5797973130841,7.540503761904748,298.210125,265.982375,2.0735210280373835,5.571737344051599,34.0025,0.0,71.56045560747663,13.130313123003349,95.8875,35.2,6.813859228971962,2.814744798282717,16.338625,1.779875,3.53921203271028,1.5145112652111126,9.0745,0.882375,0.08260864485981306,1.805776951155693,6.1855,-4.161875,0.4187815420560749,2.826041685494989,6.5385,-8.105875,5851.234563084113,2321.6119796857392,8927.575,455.4875,0.7047821261682244,0.35504877261013107,1.62825,0.056625,0,37,17,173,0.0014520994364360315,-0.0069082973389128525
